task,method,seed,n_steps,adaptive_edit_progress_mean,adaptive_edit_progress_max,adaptive_edit_progress_final,adaptive_edit_change_rms_mean,adaptive_edit_change_rms_max,adaptive_edit_change_rms_final,adaptive_edit_target_gap_rms_mean,adaptive_edit_target_gap_rms_max,adaptive_edit_target_gap_rms_final,adaptive_edit_deficit_mean,adaptive_edit_deficit_max,adaptive_edit_deficit_final,adaptive_edit_weight_mean,adaptive_edit_weight_max,adaptive_edit_weight_final,adaptive_preserve_drift_mean,adaptive_preserve_drift_max,adaptive_preserve_drift_final,adaptive_preserve_excess_mean,adaptive_preserve_excess_max,adaptive_preserve_excess_final,adaptive_preserve_weight_mean,adaptive_preserve_weight_max,adaptive_preserve_weight_final,adaptive_clean_conflict_score_mean,adaptive_clean_conflict_score_max,adaptive_clean_conflict_score_final,adaptive_clean_projection_ratio_mean,adaptive_clean_projection_ratio_max,adaptive_clean_projection_ratio_final,adaptive_preserve_drift_before_projection_mean,adaptive_preserve_drift_before_projection_max,adaptive_preserve_drift_before_projection_final,adaptive_preserve_drift_after_projection_estimate_mean,adaptive_preserve_drift_after_projection_estimate_max,adaptive_preserve_drift_after_projection_estimate_final
cat_crown,adaptive_full_v0,10,24,0.40758688784747693,1.0001261234283447,1.0001261234283447,0.6555927010873953,0.7435541152954102,0.7410228848457336,1.4139779492785844,3.5139312744140625,0.0017691408284008503,0.06119532991743956,0.41823085917159913,0.41823085917159913,1.1038427557051183,1.55,1.55,0.3005395283301671,0.5284584760665894,0.07605113089084625,0.1343914454430341,0.34845847606658936,0.0,1.3107409092908109,1.65,1.0,2.0013019277054505,15.459062576293945,0.002685298677533865,0.025721912156465503,0.1140756756067276,0.03308107703924179,0.3005395283301671,0.5284584760665894,0.07605113089084625,0.3017977500955264,0.5312302112579346,0.0760519877076149
cat_crown,adaptive_full_v0,11,24,0.40895273178466596,1.000086784362793,1.000086784362793,0.6563572660088539,0.7450873851776123,0.7438644170761108,1.4123586101874632,3.543022394180298,0.0018795783398672938,0.0615328897491175,0.4181204216601327,0.4181204216601327,1.1041145019729932,1.55,1.55,0.3005015083278219,0.5284584760665894,0.07608424872159958,0.13437798100213202,0.34845847606658936,0.0,1.3107142951960369,1.65,1.0,2.0238526266354406,15.223989486694336,0.00019878515740856528,0.02568167555485464,0.12837256491184235,0.0023960473481565714,0.3005015083278219,0.5284584760665894,0.07608424872159958,0.30176115315407515,0.5312302708625793,0.07608430087566376
cat_crown,adaptive_full_v0,12,24,0.40830843709409237,1.0000401735305786,1.0000401735305786,0.6573311202228069,0.7459814548492432,0.7446625232696533,1.4138123627199093,3.516310930252075,0.0018206791719421744,0.06086968727972513,0.4181793208280578,0.4181793208280578,1.1033800287048023,1.55,1.55,0.30049749091267586,0.5284584760665894,0.07609184086322784,0.13435229822993272,0.34845847606658936,0.0,1.310673995316029,1.65,1.0,2.0313652098314683,15.46810531616211,0.0024485650938004255,0.026204953911170985,0.1140594333410263,0.030820701271295547,0.30049749091267586,0.5284584760665894,0.07609184086322784,0.3017613422125578,0.5312328338623047,0.07609261572360992
cat_crown,adaptive_full_v0,mean,,0.40828268557541175,1.000084360440572,1.000084360440572,0.656427029106352,0.7448743184407552,0.7431832750638326,1.4133829740619859,3.524421532948812,0.0018231327800701063,0.0611993023154274,0.4181768672199299,0.4181768672199299,1.1037790954609712,1.55,1.55,0.300512842523555,0.5284584760665894,0.07607574015855789,0.13437390822503295,0.34845847606658936,0.0,1.3107097332676256,1.6499999999999997,1.0,2.018839921390786,15.383719126383463,0.0017775496429142852,0.02586951387416371,0.11883589128653209,0.022099275219564635,0.300512842523555,0.5284584760665894,0.07607574015855789,0.30177341515405315,0.5312311053276062,0.07607630143562953
cat_crown,adaptive_full,10,24,0.45502843568101525,1.0000336170196533,1.0000336170196533,0.7892053909599781,0.9178426861763,0.9160520434379578,1.3653852792146306,3.2257418632507324,0.0020594522356987,0.28714826594417303,0.6158948965370655,0.0,1.3126901313662531,1.55,1.0,0.3010575106988351,0.5284584760665894,0.07671720534563065,0.13463520638644688,0.34845847606658936,0.0,1.31095745159934,1.65,1.0,,,,,,,,,,,,
cat_crown,adaptive_full,11,24,0.46137283944214386,1.0000742673873901,1.0000742673873901,0.7878128625452518,0.9148477911949158,0.9117732644081116,1.3429206785804126,3.2257418632507324,0.0022286379244178534,0.2836119835264982,0.6113126814365387,0.0,1.3134980152050657,1.55,1.0,0.30112542988111574,0.5284584760665894,0.07678035646677017,0.13469711201886328,0.34845847606658936,0.0,1.311105330102146,1.65,1.0,,,,,,,,,,,,
cat_crown,adaptive_full,12,24,0.4593018723341326,1.0000171661376953,1.0000171661376953,0.7846849001944065,0.9111019968986511,0.905264139175415,1.3467153180390596,3.2257418632507324,0.002206072211265564,0.28465309164797276,0.606114873290062,0.0,1.3152109086513522,1.55,1.0,0.30108534544706345,0.5284584760665894,0.07673989981412888,0.13466980067392184,0.34845847606658936,0.0,1.3110624395931765,1.65,1.0,,,,,,,,,,,,
cat_crown,adaptive_full,mean,,0.4585677158190973,1.0000416835149128,1.0000416835149128,0.7872343845665455,0.9145974914232889,0.9110298156738281,1.3516737586113676,3.2257418632507324,0.0021647207904607058,0.28513778037288134,0.6111074837545555,0.0,1.3137996850742235,1.55,1.0,0.3010894286756714,0.5284584760665894,0.07674582054217656,0.13466737302641066,0.34845847606658936,0.0,1.3110417404315544,1.6499999999999997,1.0,,,,,,,,,,,,
dog_sunglasses,adaptive_full_v0,10,24,0.24616669459889332,1.000766396522522,1.000766396522522,0.4646087860067685,0.6026867628097534,0.6026867628097534,1.7285744054000436,4.226731777191162,0.0018768043955788016,0.047195058973544896,0.4181231956044212,0.4181231956044212,1.075347115546465,1.55,1.55,0.25955008808523417,0.3805335462093353,0.10891720652580261,0.08750812684496245,0.20053354620933533,0.0,1.2187703171124065,1.5013338655233384,1.0,0.5617707421964345,6.976842880249023,0.005192847456783056,0.0047576301512890495,0.014713582582771778,0.00382812786847353,0.25955008808523417,0.3805335462093353,0.10891720652580261,0.2623462410022815,0.3878169357776642,0.10891292989253998
dog_sunglasses,adaptive_full_v0,11,24,0.2776525914669037,1.0001968145370483,1.0001968145370483,0.47356174513697624,0.5982919335365295,0.5911708474159241,1.7032057798739213,4.226731777191162,0.001763117965310812,0.049120675341691816,0.4182368820346892,0.4182368820346892,1.0793960849940778,1.55,1.55,0.25982660986483097,0.3805335462093353,0.1091819778084755,0.08772807791829111,0.20053354620933533,0.0,1.2193201947957282,1.5013338655233384,1.0,0.7321736679490035,6.975584983825684,0.012220324017107487,0.005110888664300243,0.023561231791973114,0.023561231791973114,0.25982660986483097,0.3805335462093353,0.1091819778084755,0.26255530398339033,0.3878057301044464,0.10919025540351868
dog_sunglasses,adaptive_full_v0,12,24,0.26127856224775314,1.0005372762680054,1.0005372762680054,0.47177457933624584,0.5932556986808777,0.5792024731636047,1.6839650778953608,4.226731777191162,0.0017372434958815575,0.047076540739896394,0.4182627565041184,0.4182627565041184,1.0755333353579044,1.55,1.55,0.2611100117986401,0.3805335462093353,0.10895689576864243,0.08903135024011137,0.20053354620933533,0.0,1.2225783756002788,1.5013338655233384,1.0,0.7855649237850836,6.974846839904785,-0.002536345971748233,0.003896923895808868,0.01908005028963089,0.0,0.2611100117986401,0.3805335462093353,0.10895689576864243,0.2638200170670946,0.3878127634525299,0.10895124822854996
dog_sunglasses,adaptive_full_v0,mean,,0.2616992827711834,1.0005001624425252,1.0005001624425252,0.4699817034933302,0.5980781316757202,0.5910200277964274,1.705248421056442,4.226731777191162,0.0017923886189237237,0.0477974250183777,0.41820761138107626,0.41820761138107626,1.0767588452994825,1.55,1.55,0.2601622365829017,0.3805335462093353,0.10901869336764018,0.08808918500112166,0.2005335462093353,0.0,1.2202229625028045,1.5013338655233384,1.0,0.6931697779768405,6.975758234659831,0.004958941834047437,0.004588480903799388,0.019118288221458595,0.009129786553482214,0.2601622365829017,0.3805335462093353,0.10901869336764018,0.2629071873509221,0.3878118097782135,0.10901814450820287
dog_sunglasses,adaptive_full,10,24,0.4276796066357444,1.0000947713851929,1.0000947713851929,0.6343848146498203,0.7701173424720764,0.7672592401504517,1.3433370178681798,4.226731777191162,0.002321514766663313,0.29053052628102416,0.6254477329552174,0.0,1.3256320968270305,1.55,1.0,0.26574948988854885,0.3805335462093353,0.11376062780618668,0.09288091684381167,0.20053354620933533,0.0,1.2322022921095297,1.5013338655233384,1.0,,,,,,,,,,,,
dog_sunglasses,adaptive_full,11,24,0.2834459504423042,1.0004181861877441,1.0004181861877441,0.5123138017952442,0.7936722040176392,0.5941207408905029,1.5177711484284373,4.226731777191162,0.0016103236703202128,0.4100692037803433,0.6254477329552174,0.0,1.4435017555952079,1.55,1.0,0.2633932201812665,0.3805335462093353,0.1103581041097641,0.09110508089264234,0.20053354620933533,0.0,1.2277627022316062,1.5013338655233384,1.0,,,,,,,,,,,,
dog_sunglasses,adaptive_full,12,24,0.4570833354567488,0.9999107122421265,0.9999107122421265,0.6568572260439396,0.7978494167327881,0.7978494167327881,1.3013254941615742,4.226731777191162,0.0025308888871222734,0.26377625670284044,0.6254477329552174,0.0,1.2894143983721735,1.55,1.0,0.26620417678107816,0.3805335462093353,0.1143907755613327,0.09320596394439538,0.20053354620933533,0.0,1.2330149098609888,1.5013338655233384,1.0,,,,,,,,,,,,
dog_sunglasses,adaptive_full,mean,,0.38940296417826575,1.0001412232716878,1.0001412232716878,0.601185280829668,0.7872129877408346,0.7197431325912476,1.387477886819397,4.226731777191162,0.0021542424413686,0.32145866225473596,0.6254477329552174,0.0,1.3528494169314706,1.55,1.0,0.26511562895029783,0.3805335462093353,0.11283650249242783,0.09239732056028314,0.2005335462093353,0.0,1.2309933014007084,1.5013338655233384,1.0,,,,,,,,,,,,
mug_heart,adaptive_full_v0,10,24,0.3822024703452674,1.018559455871582,0.9996834993362427,0.5685662279526392,1.289117693901062,1.289117693901062,1.0898967077276513,2.4593822956085205,0.003004743019118905,0.0850678718148265,0.4169952569808811,0.4169952569808811,1.1420741711556912,1.55,1.55,0.16941321454942226,0.2303956300020218,0.0715203657746315,0.012097779487570131,0.050395630002021796,0.0,1.0302444487189255,1.1259890750050545,1.0,0.03125183138642266,0.16678202152252197,-0.00028976902831345797,0.003517207163592199,0.0218698401004076,0.0,0.16941321454942226,0.2303956300020218,0.0715203657746315,0.16954664389292398,0.2306244969367981,0.07151958346366882
mug_heart,adaptive_full_v0,11,24,0.35985998987113516,1.0275973081588745,0.9995086789131165,0.5444300211966038,1.246665596961975,1.0846550464630127,1.1300351600899983,2.4715120792388916,0.005427184980362654,0.08097002729230249,0.41457281501963733,0.41457281501963733,1.1339588683843613,1.55,1.55,0.16951873246580362,0.2303956300020218,0.07153946161270142,0.012066487049063051,0.050395630002021796,0.0,1.0301662176226578,1.1259890750050545,1.0,0.02965748097631149,0.1507265865802765,0.002138730837032199,0.00429906006714494,0.029011687263846397,0.029011687263846397,0.16951873246580362,0.2303956300020218,0.07153946161270142,0.16965048791219792,0.23062296211719513,0.07154474407434464
mug_heart,adaptive_full_v0,12,24,0.3753750951533827,1.0326001644134521,0.9998130202293396,0.5593900543948015,1.2818193435668945,1.2818193435668945,1.094859715657852,2.468442678451538,0.002994949696585536,0.08445997411268763,0.41700505030341445,0.41700505030341445,1.1405563810964428,1.55,1.55,0.16934119164943695,0.2303956300020218,0.07150839269161224,0.012036217202742899,0.050395630002021796,0.0,1.0300905430068574,1.1259890750050545,1.0,0.030943706641968067,0.17245376110076904,-0.00030725044780410826,0.0034952249049335173,0.02222801372408867,0.0,0.16934119164943695,0.2303956300020218,0.07150839269161224,0.1694756948078672,0.23062457144260406,0.07150756567716599
mug_heart,adaptive_full_v0,mean,,0.3724791851232618,1.026252309481303,0.9996683994928995,0.5574621011813482,1.2725342114766438,1.2185306946436565,1.104930527825167,2.4664456844329834,0.003808959232022365,0.08349929107327221,0.41619104076797764,0.41619104076797764,1.1388631402121652,1.55,1.55,0.16942437955488762,0.2303956300020218,0.07152274002631505,0.01206682791312536,0.050395630002021796,0.0,1.0301670697828136,1.1259890750050545,1.0,0.030617673001567407,0.1633207897345225,0.0005139037869715443,0.0037704973785568853,0.024369847029447556,0.009670562421282133,0.16942437955488762,0.2303956300020218,0.07152274002631505,0.16955760887099636,0.23062401016553244,0.07152396440505981
mug_heart,adaptive_full,10,24,0.4795565884948398,1.020003080368042,0.999675452709198,0.773212444037199,1.1497021913528442,1.1497021913528442,1.319197799602989,4.936061382293701,0.004662638064473867,0.28194720877800145,0.658031252771616,0.0,1.2773054420948031,1.55,1.0,0.16568805649876595,0.2303956300020218,0.07049376517534256,0.010878604998191202,0.050395630002021796,0.0,1.027196512495478,1.1259890750050545,1.0,,,,,,,,,,,,
mug_heart,adaptive_full,11,24,0.4037200651315895,1.019460678100586,0.9995315670967102,0.798843844483296,1.1708132028579712,1.1581084728240967,1.457671830401523,5.205516338348389,0.0036212943959981203,0.33989164265512967,0.6584700919687748,0.0,1.369243022302787,1.55,1.0,0.16575513314455748,0.2303956300020218,0.07050791382789612,0.010941480447848642,0.050395630002021796,0.0,1.0273537011196217,1.1259890750050545,1.0,,,,,,,,,,,,
mug_heart,adaptive_full,12,24,0.4742648952718203,1.0100092887878418,0.9996745586395264,0.7643821872770786,1.1602630615234375,1.1602630615234375,1.2317091101334274,3.2668113708496094,0.0033116911072283983,0.2828473797921713,0.6566524771973491,0.0,1.2646598130464557,1.55,1.0,0.16680376480023065,0.2303956300020218,0.07071054726839066,0.011233637258410457,0.050395630002021796,0.0,1.0280840931460264,1.1259890750050545,1.0,,,,,,,,,,,,
mug_heart,adaptive_full,mean,,0.4525138496327499,1.0164910157521565,0.9996271928151449,0.7788128252658578,1.160259485244751,1.1560245752334595,1.3361929133793131,4.469463030497233,0.003865207855900129,0.3015620770751008,0.6577179406459134,0.0,1.3037360924813486,1.55,1.0,0.16608231814785135,0.2303956300020218,0.0705707420905431,0.011017907568150099,0.050395630002021796,0.0,1.0275447689203754,1.1259890750050545,1.0,,,,,,,,,,,,
backpack_remove_toy_charm,adaptive_full_v0,10,24,0.759980101759235,1.0000947713851929,1.0000947713851929,0.7769906719525655,0.7995062470436096,0.7801235914230347,0.4505121680025089,1.8427200317382812,0.0018540044547989964,0.13972488414011117,0.418145995545201,0.418145995545201,1.2329677684605123,1.55,1.55,0.2682581615323822,0.45228666067123413,0.07755213230848312,0.10477144529422121,0.27228666067123414,0.0,1.2604666545987133,1.65,1.0,0.6687138759892454,3.586305618286133,-0.00020135889644734561,0.007042450689671871,0.024276264011859894,0.0,0.2682581615323822,0.45228666067123413,0.07755213230848312,0.26843059218178195,0.45368319749832153,0.07755177468061447
backpack_remove_toy_charm,adaptive_full_v0,11,24,0.7613634138057629,1.0003992319107056,1.0001024007797241,0.7771033346652985,0.7995277643203735,0.7794721722602844,0.4489956181835926,1.8427200317382812,0.0018427380127832294,0.1402800811239285,0.41815726198721676,0.41815726198721676,1.23387379989028,1.55,1.55,0.268193223203222,0.45228666067123413,0.07756686210632324,0.10470937636991338,0.27228666067123414,0.0,1.2602988256141547,1.65,1.0,0.6455021894677581,3.5785388946533203,-0.0005604219040833414,0.007119404792319983,0.023601362481713295,0.0,0.268193223203222,0.45228666067123413,0.07756686210632324,0.26836240850389004,0.45368650555610657,0.07756625860929489
backpack_remove_toy_charm,adaptive_full_v0,12,24,0.7631345335394144,1.0001131296157837,1.0001131296157837,0.7776543150345484,0.7998934984207153,0.7816994190216064,0.44688580396662775,1.8427200317382812,0.0018318207003176212,0.140357700358921,0.41816817929968236,0.41816817929968236,1.2347214162846407,1.55,1.55,0.2681167625511686,0.45228666067123413,0.07739430665969849,0.10469689354300495,0.27228666067123414,0.0,1.2602877909938497,1.65,1.0,0.6810590037639486,3.646036386489868,0.00020792230498045683,0.00850431369326543,0.028404392302036285,0.0032832766883075237,0.2681167625511686,0.45228666067123413,0.07739430665969849,0.2682926661024491,0.45368531346321106,0.0773942768573761
backpack_remove_toy_charm,adaptive_full_v0,mean,,0.761492683034804,1.0002023776372273,1.0001034339269002,0.7772494405508041,0.7996425032615662,0.7804317275683085,0.4487978633842431,1.8427200317382812,0.001842854389299949,0.1401208885409869,0.41815714561070005,0.41815714561070005,1.2338543282118108,1.55,1.55,0.26818938242892426,0.45228666067123413,0.07750443369150162,0.10472590506904651,0.27228666067123414,0.0,1.2603510904022392,1.6499999999999997,1.0,0.6650916897403173,3.6036269664764404,-0.0001846194985167434,0.007555389725085761,0.02542733959853649,0.0010944255627691746,0.26818938242892426,0.45228666067123413,0.07750443369150162,0.26836188892937374,0.4536850055058797,0.07750410338242848
backpack_remove_toy_charm,adaptive_full,10,24,0.7931442527721325,1.000052571296692,1.000052571296692,0.7859413325786591,0.8117950558662415,0.7818702459335327,0.4108942179882433,1.8427200317382812,0.0020259267184883356,0.050839586183428764,0.480736055970192,0.0,1.0828927531838417,1.55,1.0,0.26921839204927284,0.45228666067123413,0.07751370966434479,0.10571613979836302,0.27228666067123414,0.0,1.2629704610134167,1.65,1.0,,,,,,,,,,,,
backpack_remove_toy_charm,adaptive_full,11,24,0.792489917948842,1.000014305114746,1.000014305114746,0.7866134693225225,0.8127143383026123,0.7833478450775146,0.41272891174109344,1.8427200317382812,0.0020019880030304193,0.05102763387064139,0.480736055970192,0.0,1.0833213403820992,1.55,1.0,0.26928692931930226,0.45228666067123413,0.07745027542114258,0.10581734227637446,0.27228666067123414,0.0,1.2632291731114191,1.65,1.0,,,,,,,,,,,,
backpack_remove_toy_charm,adaptive_full,12,24,0.7940649011482795,1.0000407695770264,1.0000407695770264,0.7865052099029223,0.8126345276832581,0.7826363444328308,0.4107845669592886,1.8427200317382812,0.002053574426099658,0.050989894196391106,0.480736055970192,0.0,1.0832800293962161,1.55,1.0,0.2691763325904806,0.45228666067123413,0.0774945393204689,0.1056907370438178,0.27228666067123414,0.0,1.2629037379597627,1.65,1.0,,,,,,,,,,,,
backpack_remove_toy_charm,adaptive_full,mean,,0.793233023956418,1.0000358819961548,1.0000358819961548,0.7863533372680346,0.8123813072840372,0.7826181451479594,0.41146923222954185,1.8427200317382812,0.0020271630492061377,0.050952371416820415,0.48073605597019203,0.0,1.0831647076540525,1.55,1.0,0.2692272179863519,0.45228666067123413,0.07748617480198543,0.10574140637285177,0.27228666067123414,0.0,1.2630344573615329,1.6499999999999997,1.0,,,,,,,,,,,,
OVERALL,adaptive_full_v0,mean,,0.45098845912616525,1.0067598025004068,1.0000890890757241,0.6152800685829586,0.8537822912136714,0.8332914312680563,1.1680899465819596,3.01507975657781,0.002316833755079036,0.08315422673701606,0.41768316624492097,0.41768316624492097,1.1383138522961074,1.55,1.55,0.24957221027256715,0.39791857823729515,0.08353040181100368,0.08481395655208161,0.21791857823729516,0.0,1.2053627139888707,1.481830735132098,1.0,0.8519297655273778,6.531606279313564,0.0017664439413541306,0.010445970470401435,0.046937841533993684,0.01049851243927454,0.24957221027256715,0.39791857823729515,0.08353040181100368,0.2506500250763364,0.4008379826943079,0.08353062843283017
OVERALL,adaptive_full,mean,,0.5234293883966328,1.004177451133728,0.9999614953994751,0.7383964569825264,0.9186128179232279,0.8923539171616236,1.1217034477599048,3.4411641756693525,0.0025528335342338932,0.23977772277988466,0.5937523033314696,0.0,1.2633874755352739,1.55,1.0,0.2503786484400431,0.39791857823729515,0.08440980998178323,0.08595600188192391,0.21791857823729516,0.0,1.2081535670285428,1.481830735132098,1.0,,,,,,,,,,,,
