base_method,clip_source_score,clip_target_minus_source,clip_target_score,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_controller_rmsgap,0.2416345626115799,0.09784956276416779,0.3394841253757477,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.1373361349105835,0.17848296463489532,0.1131744533777237,0.291657418012619,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.0540444441139698,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,50.421306415926665,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698235332965851,A photo of a cat sitting in grass.,0.8737736827841852,0.1262263172158148,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.23982372879981995,0.102425217628479,0.34224894642829895,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13359226286411285,0.18450215458869934,0.11543282866477966,0.299934983253479,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404279753565788,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,55.334945684997365,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056848712265491486,A photo of a cat sitting in grass.,0.8744053716664747,0.1255946283335253,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24009056389331818,0.09811566770076752,0.3382062315940857,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.13705672323703766,0.17896875739097595,0.11346057057380676,0.2924293279647827,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.05404631420969963,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,54.47010108397808,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05697430670261383,A photo of a cat sitting in grass.,0.8738510422243916,0.12614895777560842,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2429143786430359,0.10094505548477173,0.3438594341278076,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.10972723364830017,0.18963827192783356,0.10402338206768036,0.2936616539955139,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit050,,0.054006557911634445,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit050/seed_10/result.png,50.74774376198184,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.055971965193748474,A photo of a cat sitting in grass.,0.8772696004126964,0.12273039958730358,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24422307312488556,0.09125779569149017,0.33548086881637573,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.12647253274917603,0.1738550066947937,0.1195252537727356,0.2933802604675293,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit075,,0.05402559041976929,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit075/seed_10/result.png,50.45729534304701,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05658097192645073,A photo of a cat sitting in grass.,0.8755243082594315,0.1244756917405685,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2389279156923294,0.10331793129444122,0.34224584698677063,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.13759872317314148,0.18075832724571228,0.1077471375465393,0.2885054647922516,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.05403779447078705,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_10/result.png,48.68899458600208,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698518827557564,A photo of a cat sitting in grass.,0.873680049205787,0.126319950794213,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24919068813323975,0.09519118070602417,0.3443818688392639,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.16072097420692444,0.1799367368221283,0.10947522521018982,0.2894119620323181,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.054059598594903946,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/result.png,52.687522228923626,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05782182887196541,A photo of a cat sitting in grass.,0.8697337463290797,0.13026625367092026,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2522933781147003,0.0901220440864563,0.3424154222011566,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.19304914772510529,0.1839151531457901,0.10841198265552521,0.2923271358013153,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.054714497178792953,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/result.png,50.564293800038286,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05959390103816986,A photo of a cat sitting in grass.,0.8630789235722177,0.13692107642778228,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.24656322598457336,0.09198793768882751,0.3385511636734009,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16765719652175903,0.18706515431404114,0.11178609728813171,0.29885125160217285,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.05376270413398743,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,46.424099384923466,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.057780053466558456,A photo of a cat sitting in grass.,0.8714118792130315,0.12858812078696846,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.2469959557056427,0.09182623028755188,0.3388221859931946,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16551069915294647,0.18243014812469482,0.10982292890548706,0.2922530770301819,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.05373867601156235,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/result.png,54.49481540406123,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05768115818500519,A photo of a cat sitting in grass.,0.8716135073452734,0.12838649265472657,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.24644067883491516,0.09218832850456238,0.33862900733947754,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16393423080444336,0.18706583976745605,0.10793554782867432,0.29500138759613037,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.053730741143226624,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/result.png,50.24409321602434,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05761788785457611,A photo of a cat sitting in grass.,0.8717134470177841,0.12828655298221592,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.2453146129846573,0.09396199882030487,0.33927661180496216,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.11503612995147705,0.1832161694765091,0.1116275042295456,0.2948436737060547,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit050,,0.05382275581359863,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit050/seed_10/result.png,48.88815581705421,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05598190054297447,A photo of a cat sitting in grass.,0.8778244637106014,0.12217553628939859,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.24804481863975525,0.09202349185943604,0.3400683104991913,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.1301681250333786,0.17777538299560547,0.11229240894317627,0.29006779193878174,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit075,,0.05367448925971985,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit075/seed_10/result.png,51.37905885791406,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056372594088315964,A photo of a cat sitting in grass.,0.8760083597546994,0.12399164024530063,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.24622763693332672,0.09226568043231964,0.33849331736564636,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.16457082331180573,0.1809200644493103,0.10912898182868958,0.2900490462779999,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit100,,0.05374688655138016,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit100/seed_10/result.png,50.13679480005521,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05765591934323311,A photo of a cat sitting in grass.,0.8717591266321546,0.1282408733678454,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.25157058238983154,0.09170293807983398,0.3432735204696655,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.2058737576007843,0.19962355494499207,0.10167732834815979,0.30130088329315186,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit125,,0.0552360974252224,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit125/seed_10/result.png,53.2132292779861,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06054946407675743,A photo of a cat sitting in grass.,0.8612208266808193,0.13877917331918066,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,0.2699737846851349,0.06301477551460266,0.33298856019973755,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.2465163916349411,0.20966750383377075,0.05677714943885803,0.2664446532726288,"162,0,342,102",outputs/pretty_matrix/cat_crown/support_v3_fixed_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit150,,0.055334579199552536,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit150/seed_10/result.png,46.20443720603362,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06207803636789322,A photo of a cat sitting in grass.,0.8566949865956652,0.14330501340433477,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.25985315442085266,0.10065054893493652,0.3605037033557892,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18273550271987915,0.2584863603115082,0.0973876416683197,0.3558740019798279,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.045777298510074615,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/result.png,54.893409098964185,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05423085018992424,A front-facing portrait of a dog in snow.,0.9034068757685725,0.09659312423142752,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.26036015152931213,0.10048902034759521,0.36084917187690735,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1830780953168869,0.26006442308425903,0.09672519564628601,0.35678961873054504,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.04577269405126572,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_11/result.png,55.82576166198123,11,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054247673600912094,A front-facing portrait of a dog in snow.,0.9032571962567071,0.09674280374329292,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.2603372633457184,0.1002301573753357,0.3605674207210541,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1839882880449295,0.2601183354854584,0.0968792736530304,0.35699760913848877,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.045778244733810425,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/result.png,53.02963445102796,12,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05430908128619194,A front-facing portrait of a dog in snow.,0.9029939126281519,0.09700608737184813,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.26423126459121704,0.09891891479492188,0.3631501793861389,True,boundary_noise,,0.0617236328125,support_perturb,0.04531249776482582,0.18274761736392975,0.26248466968536377,0.0967528223991394,0.3592374920845032,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_boundary_noise,,0.045729901641607285,boundary_noise,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/result.png,57.089771753991954,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05418713390827179,A front-facing portrait of a dog in snow.,0.9035236312483882,0.09647636875161181,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.2643384635448456,0.09373453259468079,0.35807299613952637,True,dilate,,0.0617236328125,support_perturb,0.07093749940395355,0.22287112474441528,0.27056190371513367,0.08788827061653137,0.35845017433166504,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_dilate,,0.046657539904117584,dilate,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/result.png,51.474961188971065,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05753409117460251,A front-facing portrait of a dog in snow.,0.8911312003245407,0.10886879967545926,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.2588697671890259,0.09520429372787476,0.35407406091690063,True,erode,,0.0617236328125,support_perturb,0.029374999925494194,0.1491691619157791,0.2613893747329712,0.08900651335716248,0.35039588809013367,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_erode,,0.045357562601566315,erode,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/result.png,51.22609467303846,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05176519230008125,A front-facing portrait of a dog in snow.,0.913361899830925,0.08663810016907503,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.26591259241104126,0.0984717309474945,0.36438432335853577,True,holes,,0.0617236328125,support_perturb,0.044999998062849045,0.1845971643924713,0.25924885272979736,0.09233805537223816,0.3515869081020355,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_holes,,0.04573369771242142,holes,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/result.png,54.274922930053435,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054304853081703186,A front-facing portrait of a dog in snow.,0.9028555500835441,0.09714444991645588,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,0.26588088274002075,0.0966290533542633,0.36250993609428406,True,shift,,0.0617236328125,support_perturb,0.04906249791383743,0.1951518952846527,0.2770480513572693,0.08929142355918884,0.36633947491645813,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_shift,,0.045940615236759186,shift,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/result.png,47.16438814997673,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05515046417713165,A front-facing portrait of a dog in snow.,0.8990551473437266,0.1009448526562734,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,0.26216062903404236,0.09832444787025452,0.3604850769042969,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1826533079147339,0.2548646032810211,0.09675648808479309,0.3516210913658142,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04582487419247627,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_10/result.png,56.22531503601931,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.0542704202234745,A front-facing portrait of a dog in snow.,0.9038029542465928,0.09619704575340715,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,0.26241496205329895,0.09846016764640808,0.36087512969970703,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18261027336120605,0.253120481967926,0.09643879532814026,0.3495592772960663,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04582729935646057,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_11/result.png,55.87824542191811,11,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054270025342702866,A front-facing portrait of a dog in snow.,0.9038492305910215,0.09615076940897849,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,0.26363927125930786,0.09812000393867493,0.3617592751979828,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18534857034683228,0.24634750187397003,0.09939698874950409,0.3457444906234741,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.04583554342389107,,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/result.png,52.55116100597661,12,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05444679781794548,A front-facing portrait of a dog in snow.,0.9030364640836567,0.09696353591634332,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,0.265010803937912,0.09845972061157227,0.36347052454948425,True,boundary_noise,,0.0617236328125,support_perturb,0.04531249776482582,0.1825082153081894,0.2547086775302887,0.0961240828037262,0.3508327603340149,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_boundary_noise,,0.04577721655368805,boundary_noise,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/result.png,52.61735816102009,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054216742515563965,A front-facing portrait of a dog in snow.,0.9038758761431809,0.09612412385681912,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_fixed,0.26525887846946716,0.09405851364135742,0.3593173921108246,True,dilate,,0.0617236328125,support_perturb,0.07093749940395355,0.22852075099945068,0.2645610570907593,0.09505793452262878,0.35961899161338806,"85,101,339,311",outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_pert_dilate,,0.046901311725378036,dilate,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/result.png,52.02241811901331,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.058111522346735,A front-facing portrait of a dog in snow.,0.8900728036943583,0.10992719630564174,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
