task,label,method,route,seed,complete,result,metadata,stats,category,failure_type,paper_message
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_10/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_11/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap/seed_12/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_10/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_11/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap/seed_12/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_10/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_11/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap/seed_12/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_10/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_11/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap/seed_12/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_10/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_11/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap/seed_12/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
dog_replace_tennis_ball_star,dog ball-to-star replacement,support_v3_controller_rmsgap,base_dece_rf,10,True,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_10/stats.json,failure_limit,replacement ambiguity,target pressure can fire without clean replacement
dog_replace_tennis_ball_star,dog ball-to-star replacement,support_v3_controller_rmsgap,base_dece_rf,11,True,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_11/stats.json,failure_limit,replacement ambiguity,target pressure can fire without clean replacement
dog_replace_tennis_ball_star,dog ball-to-star replacement,support_v3_controller_rmsgap,base_dece_rf,12,True,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_12/metadata.json,outputs/pretty_matrix/dog_replace_tennis_ball_star/support_v3_controller_rmsgap/seed_12/stats.json,failure_limit,replacement ambiguity,target pressure can fire without clean replacement
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,10,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,11,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
laptop_remove_sticker,laptop sticker removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,12,True,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/result.png,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/metadata.json,outputs/pretty_matrix/laptop_remove_sticker/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/stats.json,positive_extension,high-confidence completion prior,extension can help when completion prior is reliable
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,10,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,11,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_yellow_magnet,fridge yellow magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,12,True,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/result.png,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/metadata.json,outputs/pretty_matrix/fridge_remove_yellow_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,10,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,11,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
fridge_remove_peach_magnet,fridge peach magnet removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,12,True,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/result.png,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/metadata.json,outputs/pretty_matrix/fridge_remove_peach_magnet/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/stats.json,failure_limit,cluttered-surface damage,support may be accurate while completion damages cluttered surfaces
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,10,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,11,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
whiteboard_remove_yellow_letter,whiteboard glyph removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,12,True,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/result.png,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/metadata.json,outputs/pretty_matrix/whiteboard_remove_yellow_letter/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/stats.json,failure_limit,semantic glyph hallucination,blank removal in text-like fields is outside the claim
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,10,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_10/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,11,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_11/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
dog_remove_tennis_ball,dog tennis-ball removal,support_v3_controller_rmsgap_completion_clean_delta_gated_highconf,completion_prior_route,12,True,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/result.png,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/metadata.json,outputs/pretty_matrix/dog_remove_tennis_ball/support_v3_controller_rmsgap_completion_clean_delta_gated_highconf/seed_12/stats.json,failure_limit,removal completion failure,localization is not enough when the host mouth/fur must be synthesized
whiteboard_probe_red_star_sticker,whiteboard red-star replacement,support_v3_controller_rmsgap_replace_editor_v1,replacement_target_route,10,True,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_10/result.png,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_10/metadata.json,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_10/stats.json,positive_extension,replacement target route,replacement route is useful but separately named
whiteboard_probe_red_star_sticker,whiteboard red-star replacement,support_v3_controller_rmsgap_replace_editor_v1,replacement_target_route,11,True,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_11/result.png,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_11/metadata.json,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_11/stats.json,positive_extension,replacement target route,replacement route is useful but separately named
whiteboard_probe_red_star_sticker,whiteboard red-star replacement,support_v3_controller_rmsgap_replace_editor_v1,replacement_target_route,12,True,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_12/result.png,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_12/metadata.json,outputs/pretty_matrix/whiteboard_probe_red_star_sticker/support_v3_controller_rmsgap_replace_editor_v1/seed_12/stats.json,positive_extension,replacement target route,replacement route is useful but separately named
